account_id,account_number,person_id,bank_name
A00001,42832670116781,P01127,Fictional National Bank
A00002,78629025153864,P01600,Synthetic Cooperative Bank
A00003,30220994175304,P00856,Fictional National Bank
A00004,31984105075508,P00713,Mock Union Bank
A00005,28467703784679,P00996,Sample Trust Bank
A00006,08307644058355,P00095,Fictional National Bank
A00007,27279732829018,P00166,Synthetic Cooperative Bank
A00008,51121340636801,P00253,Fictional National Bank
A00009,24065117471170,P00719,Sample Trust Bank
A00010,57968863124079,P00534,Fictional National Bank
A00011,48138819011456,P00602,Sample Trust Bank
A00012,67761952496017,P01584,Fictional National Bank
A00013,17645177022380,P01135,Mock Union Bank
A00014,53478277253209,P01405,Mock Union Bank
A00015,28489873587272,P01270,Synthetic Cooperative Bank
A00016,57024093986639,P00425,Mock Union Bank
A00017,48442739835652,P01523,Synthetic Cooperative Bank
A00018,88676227353340,P01207,Sample Trust Bank
A00019,01663340142156,P01260,Synthetic Cooperative Bank
A00020,52636288623357,P00500,Fictional National Bank
A00021,45514344211175,P00556,Mock Union Bank
A00022,44957421884246,P01773,Synthetic Cooperative Bank
A00023,51291164792464,P01005,Synthetic Cooperative Bank
A00024,87247353998759,P01173,Fictional National Bank
A00025,00751451834792,P00711,Synthetic Cooperative Bank
A00026,78245310812464,P00094,Synthetic Cooperative Bank
A00027,86243014606696,P01481,Fictional National Bank
A00028,69637491218790,P01444,Sample Trust Bank
A00029,61471590112502,P00668,Synthetic Cooperative Bank
A00030,00402728986832,P00162,Fictional National Bank
A00031,08614984250796,P01845,Sample Trust Bank
A00032,78420014144246,P01234,Fictional National Bank
A00033,37238615952859,P01282,Mock Union Bank
A00034,57637982930557,P00904,Sample Trust Bank
A00035,98367607410593,P01149,Mock Union Bank
A00036,81504390356028,P01454,Mock Union Bank
A00037,69660963547607,P01527,Mock Union Bank
A00038,21018426226441,P01686,Fictional National Bank
A00039,24594085935653,P01749,Mock Union Bank
A00040,43779507655737,P00309,Mock Union Bank
A00041,52512258467901,P01119,Sample Trust Bank
A00042,22792949652396,P01604,Sample Trust Bank
A00043,99902038540700,P00499,Mock Union Bank
A00044,59124269575385,P01514,Fictional National Bank
A00045,39763529461426,P01412,Synthetic Cooperative Bank
A00046,08520633461189,P00046,Sample Trust Bank
A00047,37282659338041,P01047,Fictional National Bank
A00048,60333085441843,P00951,Sample Trust Bank
A00049,60209313788021,P01302,Fictional National Bank
A00050,67677773657645,P01159,Mock Union Bank
A00051,90348195435110,P00586,Synthetic Cooperative Bank
A00052,39553308923331,P00751,Synthetic Cooperative Bank
A00053,14855070264062,P00722,Sample Trust Bank
A00054,74151448762164,P00030,Synthetic Cooperative Bank
A00055,42797302940695,P01465,Sample Trust Bank
A00056,52023589377125,P01829,Synthetic Cooperative Bank
A00057,88919949516599,P01072,Fictional National Bank
A00058,94564464523900,P01495,Mock Union Bank
A00059,52428678554701,P00144,Sample Trust Bank
A00060,95014670936725,P01517,Fictional National Bank
A00061,80041770734603,P01481,Fictional National Bank
A00062,34079921645752,P00814,Sample Trust Bank
A00063,28328678515066,P00684,Fictional National Bank
A00064,71556616689409,P00689,Synthetic Cooperative Bank
A00065,36460595516113,P00830,Synthetic Cooperative Bank
A00066,63224518256961,P01174,Synthetic Cooperative Bank
A00067,26974869784879,P00162,Sample Trust Bank
A00068,19630527043692,P01473,Synthetic Cooperative Bank
A00069,91642301274690,P01517,Fictional National Bank
A00070,31919863708553,P00966,Sample Trust Bank
A00071,22306356735775,P00010,Sample Trust Bank
A00072,42984104003273,P01237,Fictional National Bank
A00073,24827463523561,P00430,Fictional National Bank
A00074,20380695862185,P01113,Synthetic Cooperative Bank
A00075,11128177903666,P01829,Sample Trust Bank
A00076,94728132659845,P00449,Fictional National Bank
A00077,79029403753531,P00380,Synthetic Cooperative Bank
A00078,45275671950305,P00304,Sample Trust Bank
A00079,80712652494891,P00995,Mock Union Bank
A00080,98388201514977,P00314,Sample Trust Bank
A00081,91361657652822,P00815,Sample Trust Bank
A00082,95490294849434,P00209,Mock Union Bank
A00083,66138865500915,P00906,Mock Union Bank
A00084,78323959360194,P01437,Fictional National Bank
A00085,70661853608780,P00302,Sample Trust Bank
A00086,20338811209966,P00263,Sample Trust Bank
A00087,37203734483656,P00847,Sample Trust Bank
A00088,19056574396770,P00003,Mock Union Bank
A00089,73931649095468,P00510,Sample Trust Bank
A00090,30588681025312,P01488,Synthetic Cooperative Bank
A00091,62547800958040,P00834,Fictional National Bank
A00092,61597000190073,P01554,Mock Union Bank
A00093,73474369390894,P00503,Fictional National Bank
A00094,98596718321305,P00416,Mock Union Bank
A00095,84251119035940,P00243,Mock Union Bank
A00096,94125979990323,P00326,Sample Trust Bank
A00097,76606289513403,P01355,Sample Trust Bank
A00098,87443081836329,P01099,Synthetic Cooperative Bank
A00099,70266382071548,P01267,Fictional National Bank
A00100,13311786057767,P01101,Sample Trust Bank
A00101,28892030287574,P00143,Fictional National Bank
