cdr_id,caller_phone,receiver_phone,timestamp,duration_seconds,tower_location,case_id
CDR000001,9783471062,7484479365,2023-11-15 11:27:07,414,Surat Market 150,CASE0001
CDR000002,9730671822,7607763369,2023-04-10 03:26:32,856,Lucknow Park 94,CASE0001
CDR000003,7351025550,7484479365,2024-02-22 21:45:36,839,Nagpur Hub 26,CASE0001
CDR000004,9730671822,6245531290,2024-11-01 06:42:17,892,Mumbai Hub 76,CASE0001
CDR000005,8679327986,7607763369,2024-06-20 08:20:00,332,Hyderabad Hub 16,CASE0001
CDR000006,7484479365,7351025550,2023-06-05 04:53:34,312,Hyderabad Market 131,CASE0001
CDR000007,7351025550,8679327986,2024-12-09 12:16:34,174,Lucknow Colony 87,CASE0001
CDR000008,8679327986,9783471062,2024-01-20 19:31:23,67,Hyderabad Hub 16,CASE0001
CDR000009,9783471062,8679327986,2024-03-08 14:58:52,823,Lucknow Park 19,CASE0001
CDR000010,9445475231,7351025550,2023-07-03 15:39:01,406,Patna Hub 91,CASE0001
CDR000011,7484479365,7241832527,2024-01-12 03:23:57,145,Visakhapatnam Tower 124,CASE0001
CDR000012,9189119925,6245531290,2023-06-11 20:37:04,380,Visakhapatnam Junction 34,CASE0001
CDR000013,6472660235,9783471062,2025-08-30 15:22:53,192,Ranchi Colony 111,CASE0001
CDR000014,7484479365,7607763369,2025-06-16 13:18:57,631,Kolkata Colony 127,CASE0001
CDR000015,7351025550,9189119925,2025-08-16 07:41:08,664,Ranchi Park 95,CASE0001
CDR000016,6245531290,8627765725,2023-05-26 13:44:04,54,Surat Park 62,CASE0001
CDR000017,7484479365,6245531290,2024-06-01 03:50:16,639,Mumbai Hub 76,CASE0001
CDR000018,8627765725,6245531290,2023-01-15 20:28:55,717,Kochi Park 121,CASE0001
CDR000019,7351025550,9445475231,2024-04-13 16:57:16,350,Bhopal Hub 64,CASE0001
CDR000020,7241832527,6612943985,2025-08-01 15:29:23,434,Pune Market 65,CASE0001
CDR000021,6245531290,9730671822,2024-10-04 11:22:29,243,Hyderabad Market 131,CASE0001
CDR000022,6245531290,9445475231,2023-02-14 08:27:27,233,Lucknow Colony 29,CASE0001
CDR000023,6245531290,6612943985,2024-04-10 21:20:25,301,Visakhapatnam Junction 34,CASE0001
CDR000024,6612943985,8536291714,2024-05-29 22:07:30,891,Pune Tower 71,CASE0001
CDR000025,6245531290,9189119925,2025-01-10 18:02:13,761,Patna Market 70,CASE0001
CDR000026,9445475231,7351025550,2024-11-03 20:59:02,287,Delhi Park 47,CASE0001
CDR000027,7351025550,9730671822,2025-06-01 14:06:56,172,Ahmedabad Plaza 35,CASE0001
CDR000028,7607763369,8679327986,2025-09-05 17:00:15,39,Kochi Park 121,CASE0001
CDR000029,8536291714,6245531290,2025-11-08 01:17:49,138,Mumbai Hub 76,CASE0001
CDR000030,8679327986,9783471062,2025-11-06 04:13:39,763,Pune Junction 125,CASE0001
CDR000031,8679327986,8536291714,2024-05-16 23:16:52,227,Chennai Tower 134,CASE0001
CDR000032,8627765725,9783471062,2023-07-13 21:26:16,672,Visakhapatnam Hub 112,CASE0001
CDR000033,6612943985,7351025550,2025-12-17 21:35:06,42,Delhi Junction 8,CASE0001
CDR000034,7484479365,7241832527,2023-03-07 02:08:57,97,Kochi Park 121,CASE0001
CDR000035,6245531290,9730671822,2025-12-14 04:19:02,118,Lucknow Junction 137,CASE0001
CDR000036,7241832527,7351025550,2024-02-07 07:48:31,844,Guwahati Colony 11,CASE0001
CDR000037,6245531290,8536291714,2024-01-29 21:12:42,733,Bhopal Hub 64,CASE0001
CDR000038,6472660235,6245531290,2023-07-17 08:34:46,197,Kochi Plaza 107,CASE0001
CDR000039,9189119925,6245531290,2023-08-30 14:50:18,482,Bengaluru Market 43,CASE0001
CDR000040,8536291714,9783471062,2025-09-10 16:15:16,717,Guwahati Plaza 92,CASE0001
CDR000041,6245531290,9189119925,2024-04-18 05:03:41,522,Indore Park 109,CASE0001
CDR000042,8536291714,6245531290,2023-10-19 09:12:52,184,Delhi Hub 82,CASE0001
CDR000043,7484479365,7241832527,2025-09-29 22:14:44,333,Delhi Park 47,CASE0001
CDR000044,9783471062,7484479365,2024-11-17 18:37:12,94,Ahmedabad Tower 98,CASE0001
CDR000045,8536291714,6245531290,2024-06-18 08:45:51,154,Chandigarh Hub 74,CASE0001
CDR000046,7351025550,6472660235,2025-11-11 11:13:22,444,Ahmedabad Plaza 35,CASE0001
CDR000047,6612943985,7351025550,2024-06-16 12:23:16,264,Guwahati Hub 129,CASE0001
CDR000048,7351025550,9445475231,2025-04-21 02:59:58,542,Lucknow Colony 87,CASE0001
CDR000049,6472660235,9783471062,2025-04-02 09:50:14,609,Hyderabad Hub 16,CASE0001
CDR000050,9730671822,7241832527,2024-12-14 09:01:38,730,Pune Market 65,CASE0001
CDR000051,9052774025,8931539839,2024-10-21 12:42:53,363,Delhi Hub 82,CASE0002
CDR000052,8881898484,6426430297,2023-04-12 02:34:47,449,Visakhapatnam Hub 38,CASE0002
CDR000053,9085173289,6337469833,2025-08-28 18:09:36,133,Lucknow Colony 73,CASE0002
CDR000054,6426430297,6337469833,2024-10-08 11:07:34,897,Ahmedabad Plaza 33,CASE0002
CDR000055,9861114576,9085173289,2025-04-06 06:08:14,891,Guwahati Park 61,CASE0002
CDR000056,8436436444,9279595142,2023-10-07 00:26:51,624,Patna Tower 13,CASE0002
CDR000057,9861114576,8436436444,2023-08-07 07:07:59,869,Lucknow Park 79,CASE0002
CDR000058,9085173289,6337469833,2023-07-05 00:27:28,772,Chandigarh Tower 157,CASE0002
CDR000059,9456522036,9861114576,2023-03-23 09:43:29,530,Patna Colony 77,CASE0002
