phone_id,phone_number,person_id
PH00001,6509377100,P00241
PH00002,6901380698,P00522
PH00003,8775965555,P01974
PH00004,8669055107,P01630
PH00005,9209184357,P01736
PH00006,9863050505,P01235
PH00007,7976915671,P01354
PH00008,8932898027,P01464
PH00009,8872717833,P01586
PH00010,6160256434,P00418
PH00011,6287153991,P01330
PH00012,9686334141,P01287
PH00013,8931952569,P00214
PH00014,8098366552,P01468
PH00015,7160875243,P01035
PH00016,9294209548,P00992
PH00017,6497374605,P01981
PH00018,7302764208,P00298
PH00019,9756618443,P00772
PH00020,9125904729,P01399
PH00021,9423330591,P00267
PH00022,7662015720,P01355
PH00023,8962630136,P00227
PH00024,7617647501,P00967
PH00025,6783099974,P00225
PH00026,6926764921,P01385
PH00027,7606888718,P00640
PH00028,6312920875,P01668
PH00029,7932184011,P00237
PH00030,8826034084,P01006
PH00031,9297585988,P01315
PH00032,6030324329,P00414
PH00033,8429618446,P01103
PH00034,7671462831,P01298
PH00035,8359892625,P01258
PH00036,9609314181,P01986
PH00037,9151554234,P01365
PH00038,9361128497,P00020
PH00039,8948491025,P00189
PH00040,9258896792,P01889
PH00041,7226940539,P00506
PH00042,9275784468,P00825
PH00043,7414651113,P01880
PH00044,7901487068,P01887
PH00045,7778816093,P01860
PH00046,6685389097,P01814
PH00047,7215285067,P01927
PH00048,8153814474,P00747
PH00049,6963480797,P00519
PH00050,6975451052,P00113
PH00051,6167318826,P00789
PH00052,9024376545,P00239
PH00053,7841772256,P00847
PH00054,7134026650,P00013
PH00055,7741678725,P00315
PH00056,9862110225,P01497
PH00057,7056906744,P00993
PH00058,9392823414,P00962
PH00059,7637189239,P01990
PH00060,7312604326,P01256
PH00061,7106684335,P00037
PH00062,6860414545,P00842
PH00063,7502000534,P01422
PH00064,6624755411,P00933
PH00065,7555989534,P01334
PH00066,9112910933,P00415
PH00067,6189547382,P01407
PH00068,7684855716,P00087
PH00069,9880294240,P00135
PH00070,6367881278,P01909
PH00071,9694320293,P00756
PH00072,6878844344,P01183
PH00073,7308340242,P01103
PH00074,6338105955,P00531
PH00075,8269450053,P00164
PH00076,8240891649,P01456
PH00077,9354396273,P01100
PH00078,9527172722,P01454
PH00079,9240422693,P00372
PH00080,6637618209,P00139
PH00081,9010023142,P00194
PH00082,6018513279,P01873
PH00083,7457230848,P01778
PH00084,6184186203,P00237
PH00085,9625436172,P00051
PH00086,7145195151,P01982
PH00087,7268592624,P01783
PH00088,8514754102,P01247
PH00089,7526771196,P01550
PH00090,8215226557,P01918
PH00091,9952366878,P00837
PH00092,7619689313,P01065
PH00093,7058721055,P00714
PH00094,7472863330,P01694
PH00095,6260650191,P01490
PH00096,7025213109,P00942
PH00097,9227284765,P01657
PH00098,6412009282,P00875
PH00099,9784984362,P00022
PH00100,6862369036,P00535
PH00101,6775662056,P00361
PH00102,6115950342,P00385
PH00103,6390438303,P01082
PH00104,6970051405,P00529
PH00105,9835652156,P01498
PH00106,6820967904,P01785
PH00107,9113322889,P00317
PH00108,8725459606,P01302
PH00109,6297102481,P00467
PH00110,9524214955,P00990
PH00111,7747472197,P00177
PH00112,8669275895,P00078
PH00113,9874090380,P00737
PH00114,6462961367,P00303
PH00115,8778711216,P01335
PH00116,7651559737,P01529
PH00117,9082723590,P00220
PH00118,9056730306,P01976
PH00119,7121461476,P00530
PH00120,8201654235,P01045
PH00121,9782659608,P01881
PH00122,7199255027,P01559
PH00123,9516480727,P01863
PH00124,6033682963,P01276
PH00125,7905504481,P00690
PH00126,9665586851,P01395
PH00127,9652892866,P01846
PH00128,9491111096,P00560
PH00129,6789046337,P00201
PH00130,6371576605,P01102
PH00131,8444630600,P01557
PH00132,8895529638,P00054
PH00133,7960962626,P01946
PH00134,7631281964,P01802
PH00135,7531106092,P01669
PH00136,6960275233,P00056
PH00137,7640412091,P00582
PH00138,6124421175,P00213
PH00139,7617061713,P01818
PH00140,9572240299,P01373
PH00141,6557998028,P01705
PH00142,6390808823,P01478
PH00143,6305231244,P01730
PH00144,6584776863,P00952
