record_id,case_id,source_type,source_id,recorded_name,recorded_dob,variant_type,person_id,is_erroneous
RN00001,CASE0001,fir_entry,FIR00001,Rahul Mukhrjee,1960-10-12,manual_typo,P00014,True
RN00002,CASE0001,fir_entry,FIR00001,Gopal Niar,1963-11-14,manual_typo,P00052,True
RN00003,CASE0001,fir_entry,FIR00001,Sunil Patee,2002-02-23,manual_typo,P00055,True
RN00004,CASE0001,fir_entry,FIR00001,Rohan Mirzaa,1976-08-15,manual_typo,P00062,True
RN00005,CASE0002,fir_entry,FIR00002,Ananya Mehat,1967-11-08,manual_typo,P00066,True
RN00006,CASE0002,marriage_registry,CASE0002,Manoj Sheikh,1981-05-06,married_surname,P00089,False
RN00007,CASE0002,fir_entry,FIR00002,Manoj Khae,1981-05-06,manual_typo,P00089,True
RN00008,CASE0002,fir_entry,FIR00002,Vikram Meon,1968-06-24,manual_typo,P00094,True
RN00009,CASE0002,fir_entry,FIR00002,Priya DDesai,1967-05-10,manual_typo,P00143,True
RN00010,CASE0003,fir_entry,FIR00003,Swati Ansaari,1961-03-04,manual_typo,P00162,True
RN00011,CASE0003,fir_entry,FIR00003,Deepak Vema,1997-08-30,manual_typo,P00164,True
RN00012,CASE0003,marriage_registry,CASE0003,Diya Reddy,1998-04-20,married_surname,P00179,False
RN00013,CASE0003,fir_entry,FIR00003,Diya Redde,1998-04-20,manual_typo,P00179,True
RN00014,CASE0003,fir_entry,FIR00003,Rahul AAnsari,2002-07-14,manual_typo,P00190,True
RN00015,CASE0004,fir_entry,FIR00004,Amit Aly,1969-09-05,manual_typo,P00192,True
RN00016,CASE0004,fir_entry,FIR00004,Ramesh Shara,2005-09-30,manual_typo,P00199,True
RN00017,CASE0004,fir_entry,FIR00004,Reyansh Sheiki,1987-07-03,manual_typo,P00207,True
RN00018,CASE0004,fir_entry,FIR00004,Lakshmi Plilai,1990-01-29,manual_typo,P00210,True
RN00019,CASE0005,fir_entry,FIR00005,Ishaan Hussaiin,1989-12-17,manual_typo,P00229,True
RN00020,CASE0005,fir_entry,FIR00005,Fatima uKmar,2002-09-12,manual_typo,P00256,True
RN00021,CASE0005,fir_entry,FIR00005,Naveen Meehta,1971-11-16,manual_typo,P00286,True
