record_id,case_id,source_type,source_id,recorded_phone,variant_type,person_id,is_erroneous
RP00001,CASE0001,fir_entry,FIR00001,6245531210,digit_transposition,P00014,True
RP00002,CASE0001,subscriber_record,P00014,6245531290,registered,P00014,False
RP00003,CASE0001,fir_entry,FIR00001,7607761369,digit_transposition,P00052,True
RP00004,CASE0001,subscriber_record,P00052,7607763369,registered,P00052,False
RP00005,CASE0001,fir_entry,FIR00001,6612942985,digit_transposition,P00055,True
RP00006,CASE0001,subscriber_record,P00055,6612943985,registered,P00055,False
RP00007,CASE0001,fir_entry,FIR00001,8627765825,digit_transposition,P00062,True
RP00008,CASE0001,subscriber_record,P00062,8627765725,registered,P00062,False
RP00009,CASE0002,fir_entry,FIR00002,9052774125,digit_transposition,P00066,True
RP00010,CASE0002,subscriber_record,P00066,9052774025,registered,P00066,False
RP00011,CASE0002,fir_entry,FIR00002,7311775341,digit_transposition,P00089,True
RP00012,CASE0002,subscriber_record,P00089,7311775331,registered,P00089,False
RP00013,CASE0002,fir_entry,FIR00002,6215637135,digit_transposition,P00094,True
RP00014,CASE0002,subscriber_record,P00094,6215632135,registered,P00094,False
RP00015,CASE0002,fir_entry,FIR00002,9085173089,digit_transposition,P00143,True
RP00016,CASE0002,subscriber_record,P00143,9085173289,registered,P00143,False
RP00017,CASE0003,fir_entry,FIR00003,6070716343,digit_transposition,P00162,True
RP00018,CASE0003,subscriber_record,P00162,6070716348,registered,P00162,False
RP00019,CASE0003,fir_entry,FIR00003,8269450063,digit_transposition,P00164,True
RP00020,CASE0003,subscriber_record,P00164,8269450053,registered,P00164,False
RP00021,CASE0003,fir_entry,FIR00003,7234149029,digit_transposition,P00179,True
RP00022,CASE0003,subscriber_record,P00179,7234149929,registered,P00179,False
RP00023,CASE0003,fir_entry,FIR00003,6773454957,digit_transposition,P00190,True
RP00024,CASE0003,subscriber_record,P00190,6773454757,registered,P00190,False
RP00025,CASE0004,fir_entry,FIR00004,9126154388,digit_transposition,P00192,True
RP00026,CASE0004,subscriber_record,P00192,9126158388,registered,P00192,False
RP00027,CASE0004,fir_entry,FIR00004,8919665523,digit_transposition,P00199,True
RP00028,CASE0004,subscriber_record,P00199,8919665533,registered,P00199,False
RP00029,CASE0004,fir_entry,FIR00004,6375658663,digit_transposition,P00207,True
RP00030,CASE0004,subscriber_record,P00207,6375658963,registered,P00207,False
RP00031,CASE0004,fir_entry,FIR00004,6943882811,digit_transposition,P00210,True
RP00032,CASE0004,subscriber_record,P00210,6943882211,registered,P00210,False
RP00033,CASE0005,fir_entry,FIR00005,8707982321,digit_transposition,P00229,True
RP00034,CASE0005,subscriber_record,P00229,8707986321,registered,P00229,False
RP00035,CASE0005,fir_entry,FIR00005,8789823041,digit_transposition,P00256,True
RP00036,CASE0005,subscriber_record,P00256,8789826041,registered,P00256,False
RP00037,CASE0005,fir_entry,FIR00005,6223280377,digit_transposition,P00286,True
RP00038,CASE0005,subscriber_record,P00286,6223288377,registered,P00286,False
RP00039,CASE0005,fir_entry,FIR00005,6237109728,digit_transposition,P00319,True
RP00040,CASE0005,subscriber_record,P00319,6237106728,registered,P00319,False
RP00041,CASE0006,fir_entry,FIR00006,8720765014,digit_transposition,P00327,True
RP00042,CASE0006,subscriber_record,P00327,8720765024,registered,P00327,False
RP00043,CASE0006,fir_entry,FIR00006,6342028477,digit_transposition,P00334,True
RP00044,CASE0006,subscriber_record,P00334,6342028471,registered,P00334,False
RP00045,CASE0006,fir_entry,FIR00006,8517208896,digit_transposition,P00394,True
