transaction_id,sender_account,receiver_account,amount,timestamp,case_id
TXN000001,63409161693133,18608075393985,594567.78,2025-05-11 22:57:36,CASE0001
TXN000002,18608075393985,25940376494133,114663.55,2023-04-20 04:01:16,CASE0001
TXN000003,46654977053644,91269176498577,619684.63,2023-08-14 01:52:06,CASE0001
TXN000004,25940376494133,18608075393985,644945.42,2024-10-24 23:36:24,CASE0001
TXN000005,25940376494133,18608075393985,126059.59,2023-05-23 02:47:39,CASE0001
TXN000006,30416527261891,18546413728112,97430.44,2023-02-16 18:46:22,CASE0001
TXN000007,18608075393985,32789282435097,738133.90,2023-08-11 21:23:05,CASE0001
TXN000008,42100149961177,18608075393985,498435.66,2023-05-29 08:34:54,CASE0001
TXN000009,18608075393985,29195650584841,230488.68,2025-08-06 17:01:39,CASE0001
TXN000010,28285072553205,46654977053644,283287.90,2025-03-23 06:31:41,CASE0001
TXN000011,28285072553205,18608075393985,592887.00,2025-05-13 21:54:38,CASE0001
TXN000012,18608075393985,91269176498577,700996.78,2024-09-27 12:12:35,CASE0001
TXN000013,42100149961177,18608075393985,253054.70,2023-11-21 10:29:51,CASE0001
TXN000014,15006652853004,30416527261891,130852.06,2024-01-11 08:32:12,CASE0001
TXN000015,26382391929478,30416527261891,304106.02,2024-10-29 01:20:33,CASE0001
TXN000016,18608075393985,25940376494133,337435.40,2024-07-12 18:24:51,CASE0001
TXN000017,18608075393985,42100149961177,242930.59,2025-05-16 02:20:04,CASE0001
TXN000018,18608075393985,25940376494133,678767.82,2023-08-22 10:38:23,CASE0001
TXN000019,18608075393985,25940376494133,321340.98,2025-10-24 03:04:36,CASE0001
TXN000020,18608075393985,29195650584841,145082.76,2025-07-30 09:52:13,CASE0001
TXN000021,61554277141045,78245310812464,417823.88,2024-11-14 05:58:19,CASE0002
TXN000022,91197158085111,78245310812464,381000.27,2023-06-16 13:06:28,CASE0002
TXN000023,97267545769094,91197158085111,236550.57,2025-06-12 14:54:06,CASE0002
TXN000024,43290811609629,78245310812464,135624.48,2024-02-11 16:22:09,CASE0002
TXN000025,43290811609629,78245310812464,102451.73,2025-04-09 18:52:23,CASE0002
TXN000026,43290811609629,61554277141045,456595.80,2024-10-15 03:58:30,CASE0002
TXN000027,61554277141045,43290811609629,534909.63,2025-09-29 09:59:12,CASE0002
TXN000028,97267545769094,43290811609629,207356.20,2023-03-22 19:38:10,CASE0002
TXN000029,97267545769094,43290811609629,39128.16,2024-03-15 07:32:31,CASE0002
TXN000030,97267545769094,43290811609629,105784.63,2024-06-23 13:08:23,CASE0002
TXN000031,78245310812464,43290811609629,581178.38,2025-04-18 08:30:47,CASE0002
TXN000032,43290811609629,72843858009998,502553.72,2025-08-12 14:30:03,CASE0002
TXN000033,28892030287574,40234203387384,528407.02,2023-10-11 21:56:12,CASE0002
TXN000034,91197158085111,78245310812464,273153.53,2023-09-10 07:15:09,CASE0002
TXN000035,97267545769094,91197158085111,662780.52,2023-12-30 11:00:16,CASE0002
TXN000036,40234203387384,43290811609629,572494.69,2025-06-02 20:28:40,CASE0002
TXN000037,28892030287574,61554277141045,99101.39,2025-04-18 00:33:35,CASE0002
TXN000038,97267545769094,72843858009998,356353.39,2024-03-25 03:09:48,CASE0002
TXN000039,72843858009998,61042030735386,39805.51,2025-11-24 19:48:01,CASE0002
TXN000040,97267545769094,40234203387384,225208.84,2025-08-19 02:06:39,CASE0002
TXN000041,08583755826321,70307817623255,673794.28,2025-12-06 19:15:33,CASE0003
TXN000042,28686677564698,29007416643086,72051.49,2025-06-03 16:05:27,CASE0003
TXN000043,89011203672916,28686677564698,464322.10,2024-03-05 21:22:32,CASE0003
TXN000044,28686677564698,18776458084319,96789.12,2023-07-15 14:44:12,CASE0003
TXN000045,29007416643086,00402728986832,433958.20,2024-11-07 19:44:31,CASE0003
TXN000046,81516491907044,60348973116015,481994.68,2025-02-04 18:13:33,CASE0003
TXN000047,68289821824468,52646744563225,123605.29,2025-03-20 04:30:55,CASE0003
TXN000048,26109128277565,81516491907044,443237.18,2025-08-14 23:32:54,CASE0003
TXN000049,52979685462116,60348973116015,151361.93,2024-01-27 20:33:29,CASE0003
TXN000050,83278668689984,52979685462116,126975.04,2025-02-20 01:23:04,CASE0003
TXN000051,08583755826321,26109128277565,280343.14,2023-05-29 01:39:00,CASE0003
TXN000052,28686677564698,97789516650180,226354.34,2024-06-24 06:18:16,CASE0003
TXN000053,08583755826321,26974869784879,747108.14,2025-09-09 18:52:37,CASE0003
TXN000054,97789516650180,26109128277565,163677.08,2024-10-27 11:53:45,CASE0003
TXN000055,00402728986832,94238021245824,742789.73,2024-10-10 06:06:04,CASE0003
TXN000056,08583755826321,89011203672916,43808.47,2023-11-23 16:32:55,CASE0003
TXN000057,94238021245824,26974869784879,533976.62,2024-12-16 12:52:44,CASE0003
TXN000058,94238021245824,52979685462116,346214.33,2024-06-10 03:22:17,CASE0003
TXN000059,97789516650180,28686677564698,674197.86,2025-05-17 19:40:17,CASE0003
TXN000060,25620836108802,60348973116015,606905.94,2023-09-10 12:12:24,CASE0003
TXN000061,07174164776310,65285443052361,234993.79,2023-11-10 05:11:28,CASE0004
TXN000062,12034574175659,65285443052361,189606.88,2023-07-10 18:45:20,CASE0004
TXN000063,15360964394534,77973095146073,342503.86,2023-02-09 00:54:39,CASE0004
TXN000064,50566558990658,65285443052361,365498.04,2024-12-12 05:11:58,CASE0004
TXN000065,11894623116655,65285443052361,195971.95,2024-09-28 01:33:00,CASE0004
TXN000066,65285443052361,77973095146073,680218.29,2023-05-21 14:03:59,CASE0004
TXN000067,15360964394534,65285443052361,372897.39,2025-06-02 14:36:30,CASE0004
TXN000068,15360964394534,38988102957882,571359.28,2023-03-30 17:17:35,CASE0004
TXN000069,11894623116655,65285443052361,679079.40,2023-04-22 14:16:54,CASE0004
